date,caught,stops,num_items
8/31/16,3,2,6
9/01/16,1,1,7
9/02/16,1,1,19
9/03/16,0,0,0
9/04/16,6,1,6
9/05/16,2,2,10
9/06/16,2,4,16
9/07/16,1,4,16
9/08/16,8,9,24
9/09/16,3,0,0
9/10/16,3,1,6
